Órgão,Unidade Gestora,Número Contrato,Fornecedor,Vig. Início,Vig. Fim,Valor Global,Núm. Parcelas,Valor Parcela,ministerio
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00012/2020,03.325.436/0001-49 - MARANATA PRESTADORA DE SERVICOS E CONSTRUCOES LTDA,06/04/2020,06/04/2025,"R$ 21.138.364,92",12,"R$ 1.761.530,41",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00022/2025,57.929.207/0001-62 - RPSOFTWARE DO BRASIL LTDA,12/05/2025,12/05/2030,"R$ 5.572.000,00",1,"R$ 5.572.000,00",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00013/2022,04.198.254/0001-17 - MCR SISTEMAS E CONSULTORIA LTDA,01/06/2022,01/06/2025,"R$ 138.001,80",1,"R$ 138.001,80",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00008/2022,33.683.111/0001-07 - SERVICO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO),23/05/2022,23/05/2026,"R$ 20.060.452,98",12,"R$ 1.671.704,42",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00014/2024,01.771.935/0010-25 - INGRAM MICRO BRASIL LTDA,03/05/2024,03/05/2029,"R$ 5.555.395,44",1,"R$ 5.555.395,44",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00033/2022,37.057.387/0001-22 - HEPTA TECNOLOGIA E INFORMATICA LTDA,23/01/2023,23/01/2027,"R$ 27.497.450,65",1,"R$ 27.497.450,65",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00024/2021,14.139.773/0001-68 - EXTREME DIGITAL CONSULTORIA E REPRESENTACOES LTDA,27/08/2021,27/08/2025,"R$ 11.409.159,82",1,"R$ 11.409.159,82",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00072/2024,04.929.322/0001-70 - LAYER TECNOLOGIA DA INFORMACAO LTDA,19/12/2024,19/12/2025,"R$ 9.474.850,00",1,"R$ 9.474.850,00",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00014/2021,33.683.111/0001-07 - SERVICO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO),27/05/2021,27/05/2026,"R$ 115.524,92",1,"R$ 115.524,92",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00024/2022,15.330.687/0001-09 - ATOM TECNOLOGIA EM INFORMACAO LTDA,14/09/2022,14/09/2025,"R$ 355.063,00",1,"R$ 355.063,00",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00083/2023,04.929.322/0001-70 - LAYER TECNOLOGIA DA INFORMACAO LTDA,29/12/2023,29/12/2024,"R$ 2.119.250,00",1,"R$ 2.119.250,00",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00018/2025,56.907.145/0001-25 - 56.907.145 AGATA RODRIGUES LOPES,14/05/2025,14/05/2026,"R$ 8.621,40",1,"R$ 8.621,40",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00007/2021,07.432.517/0001-07 - SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA,12/01/2021,12/01/2026,"R$ 1.330.874,16",48,"R$ 27.726,54",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00002/2021,22.762.200/0001-14 - OSAS  TECNOLOGIA DA INFORMACAO S.A.,11/01/2021,11/01/2026,"R$ 878.645,28",12,"R$ 73.220,44",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00026/2019,02.593.165/0001-40 - GARTNER DO BRASIL SERVICOS DE PESQUISAS LTDA.,27/12/2019,27/12/2024,"R$ 1.750.884,84",12,"R$ 145.907,07",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00028/2023,26.025.401/0001-90 - BLUE EYE SOLUCOES EM TECNOLOGIA LTDA,22/09/2023,22/09/2025,"R$ 5.895.540,00",12,"R$ 491.295,00",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00073/2023,04.929.322/0001-70 - LAYER TECNOLOGIA DA INFORMACAO LTDA,29/12/2023,29/12/2024,"R$ 5.898.027,00",1,"R$ 5.898.027,00",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00015/2023,57.142.978/0001-05 - BRASOFTWARE INFORMATICA LTDA,14/08/2023,14/08/2026,"R$ 17.517.989,50",36,"R$ 486.610,82",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130018 - SFA/TO/MAPA,00002/2024,27.511.584/0001-16 - TI SOLUCOES LTDA,26/02/2024,26/02/2026,"R$ 27.000,00",24,"R$ 1.125,00",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130021 - SFA/PI/MAPA,00001/2024,00.113.110/0001-60 - COMERCIAL EQIP LTDA.,12/04/2024,12/04/2026,"R$ 20.136,00",12,"R$ 1.678,00",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130023 - SFA/RN/MAPA,00008/2019,40.938.508/0001-50 - MAQ-LAREM MAQUINAS MOVEIS E EQUIPAMENTOS LTDA,22/12/2019,21/06/2025,"R$ 172.800,00",225,"R$ 768,00",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130023 - SFA/RN/MAPA,00001/2024,04.999.366/0001-77 - AM SERVICOS E LOCACAO DE EQUIPAMENTOS DE INFORMATICA LTDA,01/03/2024,01/03/2025,"R$ 4.140,00",12,"R$ 345,00",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130027 - SFA/AL/MAPA,00002/2020,40.938.508/0001-50 - MAQ-LAREM MAQUINAS MOVEIS E EQUIPAMENTOS LTDA,23/03/2020,23/03/2025,"R$ 11.520,00",12,"R$ 960,00",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130028 - SFA/SE/MAPA,00004/2024,17.974.034/0001-80 - SOL E LUZ COMERCIO E SERVICOS LTDA,03/06/2024,03/06/2025,"R$ 20.160,00",12,"R$ 1.680,00",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130032 - LFDA-GO/SDA/MAPA,00002/2024,04.215.934/0001-00 - LC SISTEMAS LTDA,01/07/2024,01/07/2025,"R$ 19.477,12",12,"R$ 1.623,09",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130058 - LFDA-MG/SDA/MAPA,00004/2022,28.800.572/0001-74 - TRICORDER INFORMATICA LTDA,07/01/2022,07/01/2025,"R$ 99.758,56",1,"R$ 99.758,56",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130062 - SFA/MS/MAPA,00004/2023,09.238.496/0001-00 - W.A. EQUIPAMENTOS E SERVICOS LTDA,16/11/2023,17/11/2025,"R$ 114.758,35",12,"R$ 9.563,20",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130063 - SFA/RJ/MAPA,00011/2022,35.863.810/0001-56 - ULTRAMAQ MAQUINAS E SERVICOS LTDA,01/08/2022,31/07/2025,"R$ 64.275,72",12,"R$ 5.356,31",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130070 - SFA/PR/MAPA,00012/2019,05.399.623/0001-00 - FOKUS INFORMATICA E MICROFILMAGEM LTDA,02/01/2020,30/06/2023,"R$ 76.360,73",3,"R$ 25.453,58",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130070 - SFA/PR/MAPA,00001/2019,64.799.539/0001-35 - TECNOSET INFORMATICA PRODUTOS E SERVICOS LTDA,05/02/2019,04/02/2025,"R$ 90.974,04",12,"R$ 7.581,17",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130074 - SFA/RS/MAPA,00015/2025,08.468.094/0001-30 - F B SERVICOS DE COMUNICACAO MULTIMIDIA LTDA,01/03/2025,01/03/2030,"R$ 11.394,00",60,"R$ 189,90",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130074 - SFA/RS/MAPA,00006/2023,07.432.517/0001-07 - SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA,01/07/2023,01/07/2027,"R$ 637.863,36",48,"R$ 13.288,82",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130077 - SFA/MT/MAPA,00003/2021,09.238.496/0001-00 - W.A. EQUIPAMENTOS E SERVICOS LTDA,15/12/2021,14/12/2025,"R$ 23.940,53",12,"R$ 1.995,04",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130080 - SFA/GO/MAPA,00004/2023,02.329.217/0001-75 - DIRECTA COMERCIO SERVICOS E SOLUCOES LTDA,04/09/2023,04/09/2028,"R$ 19.776,00",12,"R$ 1.648,00",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130090 - SFA/AM/MAPA,00002/2022,01.657.353/0001-21 - AMAZONAS COPIADORAS LTDA,11/10/2022,11/10/2026,"R$ 55.659,12",24,"R$ 2.319,13",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130103 - LFDA-RS/SDA/MAPA,00001/2024,13.011.238/0001-64 - LABWARE BRASIL SERVICOS DE INFORMATICA LTDA,23/01/2024,23/01/2029,"R$ 7.446.250,00",1,"R$ 7.446.250,00",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130024 - SFA/PB/MAPA,00002/2023,10.953.726/0001-00 - IMPRESSIONE SOLUCOES EM COPIAS E IMPRESSOES LTDA,03/04/2023,03/04/2027,"R$ 55.730,40",48,"R$ 1.161,05",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130056 - SFA/MG/MAPA,00002/2024,07.342.935/0001-03 - CXW SERVICOS E NEGOCIOS DE TECNOLOGIA LTDA,25/03/2024,24/03/2027,"R$ 382.086,86",36,"R$ 10.613,52",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130148 - SAF/MAPA,00285/2022,00.394.528/0001-92 - SECRETARIA-EXECUTIVA DO MINISTÉRIO DA PREVIDÊNCIA SOCIAL,28/12/2022,28/12/2032,"R$ 0,00",1,"R$ 0,00",Consulta Contratos Contratos.gov.br Min Agricultura 22000
56000 - MINISTERIO DAS CIDADES,560010 - CGSL-MCID,00004/2025,33.683.111/0001-07 - SERVICO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO),04/04/2025,04/04/2028,"R$ 1.460.160,00",1,"R$ 1.460.160,00",Consulta Contratos Contratos.gov.br Min Cidades 56000
56000 - MINISTERIO DAS CIDADES,560010 - CGSL-MCID,00010/2023,57.142.978/0001-05 - BRASOFTWARE INFORMATICA LTDA,05/12/2023,05/12/2026,"R$ 6.219.945,11",1,"R$ 6.219.945,11",Consulta Contratos Contratos.gov.br Min Cidades 56000
56000 - MINISTERIO DAS CIDADES,560010 - CGSL-MCID,00019/2023,57.229.601/0001-98 - TELESUL TELECOMUNICACOES LTDA,30/12/2023,30/12/2026,"R$ 4.690.756,00",1,"R$ 4.690.756,00",Consulta Contratos Contratos.gov.br Min Cidades 56000
56000 - MINISTERIO DAS CIDADES,560010 - CGSL-MCID,00005/2025,01.628.251/0001-88 - ALUCOM LTDA,08/05/2025,08/05/2026,"R$ 74.412,71",1,"R$ 74.412,71",Consulta Contratos Contratos.gov.br Min Cidades 56000
56000 - MINISTERIO DAS CIDADES,560010 - CGSL-MCID,00009/2023,06.043.786/0001-00 - RNL TRADE AND FACILITIES LTDA,01/12/2023,01/06/2024,"R$ 45.900,00",1,"R$ 45.900,00",Consulta Contratos Contratos.gov.br Min Cidades 56000
56000 - MINISTERIO DAS CIDADES,560010 - CGSL-MCID,00013/2024,38.292.523/0001-21 - BRIGHT TELECOM LTDA,18/10/2024,18/10/2025,"R$ 15.000,00",1,"R$ 15.000,00",Consulta Contratos Contratos.gov.br Min Cidades 56000
56000 - MINISTERIO DAS CIDADES,560010 - CGSL-MCID,00014/2024,07.171.299/0001-96 - CENTRAL IT TECNOLOGIA DA INFORMACAO S/A,04/12/2024,04/12/2026,"R$ 8.877.544,08",1,"R$ 8.877.544,08",Consulta Contratos Contratos.gov.br Min Cidades 56000
56000 - MINISTERIO DAS CIDADES,560010 - CGSL-MCID,00004/2023,40.432.544/0001-47 - CLARO S.A.,25/10/2023,25/04/2026,"R$ 603.360,00",1,"R$ 603.360,00",Consulta Contratos Contratos.gov.br Min Cidades 56000
56000 - MINISTERIO DAS CIDADES,560010 - CGSL-MCID,00006/2023,81.243.735/0019-77 - POSITIVO TECNOLOGIA S.A.,08/11/2023,08/11/2024,"R$ 462.410,00",1,"R$ 462.410,00",Consulta Contratos Contratos.gov.br Min Cidades 56000
56000 - MINISTERIO DAS CIDADES,560010 - CGSL-MCID,00007/2023,81.243.735/0009-03 - POSITIVO TECNOLOGIA S.A.,08/11/2023,08/10/2024,"R$ 1.909.000,00",1,"R$ 1.909.000,00",Consulta Contratos Contratos.gov.br Min Cidades 56000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00420/2023,02.543.216/0011-09 - PERFIL COMPUTACIONAL LTDA,27/09/2023,27/09/2024,"R$ 732.000,00",1,"R$ 732.000,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00200/2023,05.795.607/0001-29 - WISEIT - SISTEMAS E INFORMATICA LTDA,04/07/2023,06/11/2023,"R$ 387.000,00",1,"R$ 387.000,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00530/2022,05.795.607/0001-29 - WISEIT - SISTEMAS E INFORMATICA LTDA,29/12/2022,03/05/2023,"R$ 135.380,00",1,"R$ 135.380,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00420/2021,02.543.216/0011-09 - PERFIL COMPUTACIONAL LTDA,16/11/2021,16/03/2023,"R$ 920.000,00",1,"R$ 920.000,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00560/2023,89.237.911/0289-08 - GLOBAL DISTRIBUICAO DE BENS DE CONSUMO LTDA.,14/12/2023,14/12/2024,"R$ 194.040,00",1,"R$ 194.040,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00320/2022,05.795.607/0001-29 - WISEIT - SISTEMAS E INFORMATICA LTDA,29/11/2022,03/04/2023,"R$ 500.620,00",1,"R$ 500.620,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00410/2023,02.543.216/0011-09 - PERFIL COMPUTACIONAL LTDA,21/09/2023,21/09/2024,"R$ 22.135,00",1,"R$ 22.135,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00220/2023,05.085.461/0001-28 - DATAINFO SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,07/07/2023,07/07/2025,"R$ 5.602.944,00",1,"R$ 5.602.944,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00370/2023,05.085.461/0001-28 - DATAINFO SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,17/08/2023,17/08/2025,"R$ 5.150.848,20",1,"R$ 5.150.848,20",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00250/2024,19.813.573/0001-62 - SERVICE MASTER LTDA,03/10/2024,03/10/2025,"R$ 10.640,00",1,"R$ 10.640,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00510/2022,05.085.461/0001-28 - DATAINFO SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,28/12/2022,28/12/2023,"R$ 4.916.338,80",1,"R$ 4.916.338,80",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00390/2020,05.795.607/0001-29 - WISEIT - SISTEMAS E INFORMATICA LTDA,27/11/2020,31/01/2021,"R$ 3.101.580,00",1,"R$ 3.101.580,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00550/2020,61.797.924/0002-36 - HEWLETT-PACKARD BRASIL LTDA,23/12/2020,23/12/2021,"R$ 4.470.871,92",1,"R$ 4.470.871,92",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00010/2019,72.381.189/0006-25 - DELL COMPUTADORES DO BRASIL LTDA,18/01/2019,18/01/2024,"R$ 5.784.125,70",1,"R$ 5.784.125,70",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00580/2024,05.795.607/0002-00 - WISEIT - SISTEMAS E INFORMATICA LTDA,17/12/2024,17/12/2025,"R$ 50.026,97",1,"R$ 50.026,97",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00570/2020,03.619.767/0005-15 - TORINO INFORMATICA LTDA..,06/01/2021,06/07/2024,"R$ 798.000,00",1,"R$ 798.000,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00650/2019,89.237.911/0162-25 - GLOBAL DISTRIBUICAO DE BENS DE CONSUMO LTDA.,17/12/2019,17/12/2020,"R$ 898.293,00",1,"R$ 898.293,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00480/2024,04.602.789/0001-01 - DATEN TECNOLOGIA LTDA,13/12/2024,13/12/2025,"R$ 118.299,48",1,"R$ 118.299,48",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00470/2022,05.795.607/0001-29 - WISEIT - SISTEMAS E INFORMATICA LTDA,21/12/2022,25/04/2023,"R$ 43.160,00",1,"R$ 43.160,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00140/2021,08.703.140/0001-38 - MOURACOM COMERCIO DE ARTIGOS DE INFORMATICA LTDA,10/11/2021,10/11/2022,"R$ 434.360,00",1,"R$ 434.360,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00190/2022,05.795.607/0001-29 - WISEIT - SISTEMAS E INFORMATICA LTDA,20/09/2022,23/01/2023,"R$ 385.300,00",1,"R$ 385.300,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00560/2024,05.795.607/0002-00 - WISEIT - SISTEMAS E INFORMATICA LTDA,17/12/2024,17/12/2025,"R$ 494.782,00",1,"R$ 494.782,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00720/2024,05.795.607/0002-00 - WISEIT - SISTEMAS E INFORMATICA LTDA,27/12/2024,27/12/2025,"R$ 55.450,00",1,"R$ 55.450,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00520/2024,81.243.735/0019-77 - POSITIVO TECNOLOGIA S.A.,19/12/2024,19/12/2025,"R$ 287.756,00",1,"R$ 287.756,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00570/2024,05.795.607/0002-00 - WISEIT - SISTEMAS E INFORMATICA LTDA,17/12/2024,17/12/2025,"R$ 347.815,82",1,"R$ 347.815,82",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240106 - INPE/S.J.CAMP/MCTI,00740/2019,58.619.404/0008-14 - CONVERGINT COMERCIO E SERVICOS DE TECNOLOGIA LTDA,23/12/2019,21/06/2021,"R$ 525.191,00",1,"R$ 525.191,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
